work_order_id,created_at,completed_at,category,priority,site,technician,resolution_hours,sla_target_hours,sla_met,downtime_hours,labor_cost,material_cost,total_cost,month
WO-00165,2026-05-18 01:00:00,2026-05-18 10:20:47.675781139,HVAC,High,Production A,Tech E,9.3,24,1,2.1,347.59,191.41,850.23,2026-05
WO-00166,2026-02-14 12:00:00,2026-02-18 00:26:57.918590108,HVAC,Low,Production A,Tech C,84.4,72,0,4.2,2553.11,83.44,3271.25,2026-02
WO-00167,2026-02-12 12:00:00,2026-02-12 18:01:51.449533315,Controls,Medium,Production B,Tech C,6.0,48,1,0.0,343.6,94.93,438.53,2026-02
WO-00168,2026-03-28 04:00:00,2026-03-29 18:02:21.087289387,Electrical,Low,Production B,Tech B,38.0,72,1,2.3,1617.28,246.66,2208.64,2026-03
WO-00169,2026-03-18 11:00:00,2026-03-20 15:36:30.315152604,Controls,Low,Production B,Tech D,52.6,72,1,1.7,2305.26,77.17,2638.7,2026-03
WO-00170,2026-04-02 18:00:00,2026-04-03 16:33:26.673096976,Plumbing,Medium,Warehouse,Tech C,22.6,48,1,1.1,1023.81,67.58,1251.02,2026-04
WO-00171,2026-02-04 16:00:00,2026-02-04 21:06:42.823670583,Electrical,Low,Warehouse,Tech C,5.1,72,1,0.1,297.15,261.06,574.14,2026-02
WO-00172,2026-06-03 16:00:00,2026-06-04 14:13:37.878148673,Electrical,Low,Utility Room,Tech B,22.2,72,1,0.0,744.68,94.68,839.36,2026-06
WO-00173,2026-06-24 22:00:00,2026-06-25 16:15:34.121660991,Electrical,High,Office,Tech A,18.3,24,1,4.1,749.14,33.66,1399.51,2026-06
WO-00174,2026-04-28 05:00:00,2026-04-30 03:42:51.783370500,Plumbing,Low,Production B,Tech B,46.7,72,1,1.7,1809.76,172.84,2235.97,2026-04
WO-00175,2026-05-04 12:00:00,2026-05-04 23:31:21.624382575,Plumbing,Medium,Production B,Tech B,11.5,48,1,1.0,355.36,144.24,653.02,2026-05
WO-00176,2026-04-26 10:00:00,2026-04-26 15:48:04.963683136,HVAC,Medium,Production A,Tech A,5.8,48,1,0.0,237.59,132.42,370.01,2026-04
WO-00177,2026-06-02 04:00:00,2026-06-04 02:05:38.288164327,General Maintenance,Low,Office,Tech A,46.1,72,1,1.7,1763.21,62.27,2076.55,2026-06
WO-00178,2026-04-07 21:00:00,2026-04-08 13:45:56.028376241,HVAC,Low,Production A,Tech B,16.8,72,1,1.3,637.37,188.32,1026.21,2026-04
WO-00179,2026-01-22 22:00:00,2026-01-23 16:23:44.376618959,Electrical,Medium,Warehouse,Tech B,18.4,48,1,0.9,948.89,136.72,1213.48,2026-01
WO-00180,2026-05-07 17:00:00,2026-05-08 20:48:29.601400431,Mechanical,Medium,Office,Tech E,27.8,48,1,1.1,1114.04,141.26,1426.64,2026-05
WO-00181,2026-03-25 18:00:00,2026-03-27 10:16:56.969469906,HVAC,Low,Production A,Tech B,40.3,72,1,1.7,1780.61,0.0,2041.42,2026-03
WO-00182,2026-01-17 17:00:00,2026-01-18 08:01:11.742312988,General Maintenance,High,Utility Room,Tech C,15.0,24,1,1.0,642.39,41.6,836.41,2026-01
WO-00183,2026-03-12 17:00:00,2026-03-13 22:49:19.557604690,HVAC,Medium,Production B,Tech C,29.8,48,1,1.2,1481.66,171.87,1826.92,2026-03
WO-00184,2026-04-23 05:00:00,2026-04-23 21:31:41.617562904,HVAC,Medium,Utility Room,Tech D,16.5,48,1,0.9,690.04,234.41,1059.08,2026-04
WO-00185,2026-05-27 14:00:00,2026-06-02 01:45:42.251864387,Electrical,Medium,Production A,Tech B,131.8,48,0,6.7,5647.2,116.63,6771.76,2026-05
WO-00186,2026-04-13 23:00:00,2026-04-15 05:30:12.017520997,Mechanical,Low,Warehouse,Tech D,30.5,72,1,2.3,1342.73,203.18,1889.76,2026-04
WO-00187,2026-03-27 02:00:00,2026-03-28 06:14:25.884788033,General Maintenance,Low,Production A,Tech E,28.2,72,1,1.6,1294.98,74.25,1606.39,2026-03
WO-00188,2026-06-11 18:00:00,2026-06-14 09:09:24.744935094,HVAC,Medium,Warehouse,Tech D,63.2,48,0,3.3,2376.88,204.95,3076.7,2026-06
WO-00189,2026-02-01 09:00:00,2026-02-01 19:29:49.175365942,HVAC,Medium,Production A,Tech A,10.5,48,1,0.0,453.78,2.82,456.6,2026-02
WO-00190,2026-02-01 05:00:00,2026-02-01 22:21:36.059391299,HVAC,Medium,Production B,Tech A,17.4,48,1,0.5,775.43,201.52,1053.95,2026-02
WO-00191,2026-04-03 19:00:00,2026-04-05 09:38:51.974406794,HVAC,Medium,Warehouse,Tech A,38.6,48,1,2.1,1242.48,262.9,1824.84,2026-04
WO-00192,2026-04-27 23:00:00,2026-04-28 19:54:36.363539196,Electrical,Low,Office,Tech A,20.9,72,1,0.8,809.45,127.27,1062.67,2026-04
WO-00193,2026-03-22 14:00:00,2026-03-24 11:58:26.171550046,Mechanical,Low,Warehouse,Tech C,46.0,72,1,1.2,1886.3,163.67,2224.42,2026-03
WO-00194,2026-05-04 13:00:00,2026-05-05 05:01:15.544359656,Electrical,Medium,Production A,Tech B,16.0,48,1,0.0,639.43,0.0,639.43,2026-05
WO-00195,2026-02-10 09:00:00,2026-02-10 16:43:38.171617441,Controls,Critical,Utility Room,Tech B,7.7,8,1,1.3,269.46,57.8,516.19,2026-02
WO-00196,2026-06-12 11:00:00,2026-06-13 19:08:26.531031337,HVAC,Medium,Warehouse,Tech D,32.1,48,1,2.7,1372.13,329.02,2103.68,2026-06
WO-00197,2026-03-18 16:00:00,2026-03-19 12:21:17.841727414,Plumbing,Medium,Production B,Tech D,20.4,48,1,0.9,692.94,262.08,1085.06,2026-03
WO-00198,2026-06-05 08:00:00,2026-06-05 11:36:15.496250376,Plumbing,Critical,Office,Tech D,3.6,8,1,0.5,139.76,128.53,338.14,2026-06
WO-00199,2026-02-12 20:00:00,2026-02-13 16:23:26.385865895,HVAC,Medium,Production A,Tech C,20.4,48,1,1.5,736.79,196.02,1161.92,2026-02
WO-00200,2026-06-27 06:00:00,2026-06-28 21:29:16.991000791,Mechanical,Low,Warehouse,Tech B,39.5,72,1,1.3,1169.46,0.0,1358.98,2026-06
WO-00201,2026-06-10 11:00:00,2026-06-13 07:50:21.842729412,HVAC,Low,Production A,Tech C,68.8,72,1,3.0,2735.18,339.11,3517.81,2026-06
WO-00202,2026-02-11 14:00:00,2026-02-11 17:06:40.514950321,Controls,Medium,Utility Room,Tech A,3.1,48,1,0.4,131.18,371.75,565.0,2026-02
WO-00203,2026-06-28 13:00:00,2026-06-30 03:31:06.509188424,Mechanical,Low,Warehouse,Tech A,38.5,72,1,1.0,1349.38,20.35,1525.52,2026-06
WO-00204,2026-02-15 18:00:00,2026-02-16 21:06:30.292601876,HVAC,Medium,Production A,Tech E,27.1,48,1,1.2,1124.45,144.86,1456.39,2026-02
WO-00205,2026-05-22 19:00:00,2026-05-23 01:16:02.780966185,HVAC,Medium,Production A,Tech D,6.3,48,1,0.0,253.62,0.0,253.62,2026-05
WO-00206,2026-05-08 02:00:00,2026-05-09 13:54:07.610558869,Controls,Medium,Production A,Tech B,35.9,48,1,1.8,1359.87,206.2,1837.8,2026-05
WO-00207,2026-01-15 10:00:00,2026-01-15 23:45:36.853220309,Controls,High,Production A,Tech C,13.8,24,1,3.4,509.97,327.47,1353.43,2026-01
WO-00208,2026-03-03 08:00:00,2026-03-03 10:41:58.477625560,Electrical,Critical,Production A,Tech D,2.7,8,1,0.0,101.05,211.96,313.01,2026-03
WO-00209,2026-01-29 10:00:00,2026-01-30 01:43:36.692725737,Electrical,Low,Production B,Tech B,15.7,72,1,0.9,653.37,178.91,974.41,2026-01
WO-00210,2026-02-07 19:00:00,2026-02-07 23:27:11.531479403,Mechanical,High,Warehouse,Tech A,4.5,24,1,0.0,154.58,232.1,386.68,2026-02
WO-00211,2026-03-17 21:00:00,2026-03-20 16:16:19.312545999,HVAC,Low,Production A,Tech B,67.3,72,1,2.8,2795.91,85.51,3300.99,2026-03
WO-00212,2026-01-04 12:00:00,2026-01-05 00:59:14.678673813,HVAC,Low,Production A,Tech D,13.0,72,1,0.5,574.97,245.17,893.44,2026-01
WO-00213,2026-02-17 23:00:00,2026-02-18 19:35:51.344770998,HVAC,Medium,Utility Room,Tech B,20.6,48,1,1.3,881.43,341.71,1423.7,2026-02
WO-00214,2026-04-11 09:00:00,2026-04-11 15:58:36.303635665,General Maintenance,Medium,Office,Tech C,7.0,48,1,0.1,310.69,124.9,445.96,2026-04
WO-00215,2026-01-24 18:00:00,2026-01-25 18:04:26.231286296,Plumbing,Medium,Production A,Tech B,24.1,48,1,1.1,1097.33,153.79,1422.76,2026-01
WO-00216,2026-02-22 07:00:00,2026-02-24 12:20:37.040202948,HVAC,Low,Production B,Tech C,53.3,72,1,2.8,2203.17,151.74,2770.44,2026-02
WO-00217,2026-02-13 12:00:00,2026-02-13 20:18:25.711532498,Plumbing,High,Production A,Tech E,8.3,24,1,3.9,323.5,167.3,1081.52,2026-02
WO-00218,2026-06-02 16:00:00,2026-06-04 23:00:22.487906669,Mechanical,Low,Production A,Tech B,55.0,72,1,3.4,2044.77,236.32,2787.18,2026-06
WO-00219,2026-03-21 22:00:00,2026-03-22 07:26:39.281754451,HVAC,High,Office,Tech D,9.4,24,1,0.3,269.46,219.06,533.14,2026-03
WO-00220,2026-06-10 22:00:00,2026-06-13 04:53:42.963966966,HVAC,Medium,Warehouse,Tech C,54.9,48,0,3.1,2381.63,354.06,3203.19,2026-06
WO-00221,2026-02-08 23:00:00,2026-02-10 17:58:48.205370063,HVAC,Medium,Production A,Tech E,43.0,48,1,2.5,2034.39,282.62,2698.07,2026-02
WO-00222,2026-02-28 23:00:00,2026-03-01 17:42:03.420016283,HVAC,Low,Production A,Tech A,18.7,72,1,1.5,834.93,265.04,1324.94,2026-02
WO-00223,2026-06-23 10:00:00,2026-06-23 18:40:12.529597852,HVAC,Low,Warehouse,Tech C,8.7,72,1,1.1,385.87,72.68,623.35,2026-06
WO-00224,2026-06-01 06:00:00,2026-06-01 20:54:52.488402141,Controls,Medium,Production A,Tech B,14.9,48,1,1.3,594.69,99.94,883.38,2026-06
WO-00225,2026-03-27 16:00:00,2026-03-30 03:26:16.416138091,HVAC,Low,Production A,Tech B,59.4,72,1,3.1,2420.15,106.77,2989.02,2026-03
WO-00226,2026-03-14 15:00:00,2026-03-17 18:37:09.067290577,Mechanical,Low,Production A,Tech E,75.6,72,0,4.2,3019.6,100.26,3750.45,2026-03
WO-00227,2026-06-19 18:00:00,2026-06-19 23:40:01.291670204,Controls,High,Production A,Tech A,5.7,24,1,2.6,249.13,110.31,746.97,2026-06
WO-00228,2026-01-16 16:00:00,2026-01-17 01:02:17.401613966,Electrical,Critical,Production A,Tech C,9.0,8,0,3.2,333.24,104.88,918.14,2026-01
WO-00229,2026-05-05 20:00:00,2026-05-06 14:55:45.129507047,HVAC,Medium,Office,Tech A,18.9,48,1,0.8,975.93,85.71,1179.62,2026-05
WO-00230,2026-05-12 19:00:00,2026-05-13 01:50:14.182155055,HVAC,High,Production A,Tech E,6.8,24,1,0.7,333.58,147.26,588.09,2026-05
WO-00231,2026-06-06 00:00:00,2026-06-06 04:48:50.419557801,Electrical,High,Production A,Tech D,4.8,24,1,2.0,213.77,157.02,668.99,2026-06
WO-00232,2026-05-24 21:00:00,2026-05-25 06:02:04.676120537,Electrical,High,Utility Room,Tech B,9.0,24,1,1.2,418.87,163.93,756.85,2026-05
WO-00233,2026-05-18 07:00:00,2026-05-19 07:47:46.339000956,General Maintenance,Low,Office,Tech C,24.8,72,1,1.1,908.99,32.21,1103.02,2026-05
WO-00234,2026-02-04 10:00:00,2026-02-05 06:59:28.963264117,Controls,Medium,Office,Tech D,21.0,48,1,2.0,942.53,87.7,1327.45,2026-02
WO-00235,2026-02-26 16:00:00,2026-02-27 17:37:17.191754826,HVAC,High,Production B,Tech B,25.6,24,0,7.6,1067.73,179.45,2394.58,2026-02
WO-00236,2026-06-08 08:00:00,2026-06-11 17:24:40.819541746,Electrical,Low,Production B,Tech A,81.4,72,0,5.0,2768.7,127.81,3639.06,2026-06
WO-00237,2026-01-01 14:00:00,2026-01-01 18:41:57.073160212,Mechanical,Low,Production B,Tech C,4.7,72,1,1.0,219.62,139.32,510.46,2026-01
WO-00238,2026-05-04 22:00:00,2026-05-05 01:03:10.345747481,Plumbing,Critical,Utility Room,Tech C,3.1,8,1,0.8,144.14,96.68,366.44,2026-05
WO-00239,2026-06-10 07:00:00,2026-06-10 10:47:03.373247029,Electrical,High,Production A,Tech A,3.8,24,1,2.2,145.18,168.26,640.92,2026-06
WO-00240,2026-04-05 19:00:00,2026-04-06 15:44:36.039317912,HVAC,Medium,Production A,Tech E,20.7,48,1,2.2,1003.25,30.06,1364.32,2026-04
WO-00241,2026-05-27 19:00:00,2026-05-28 20:33:33.107899876,General Maintenance,Medium,Warehouse,Tech D,25.6,48,1,2.0,927.32,39.91,1271.29,2026-05
WO-00242,2026-06-07 00:00:00,2026-06-08 04:58:09.707515836,General Maintenance,Low,Production B,Tech E,29.0,72,1,0.3,1042.98,30.16,1121.2,2026-06
WO-00243,2026-03-21 20:00:00,2026-03-22 07:51:38.615266158,HVAC,Low,Warehouse,Tech A,11.9,72,1,0.8,536.9,284.48,936.86,2026-03
WO-00244,2026-06-12 03:00:00,2026-06-12 13:07:13.006544232,Electrical,Medium,Production B,Tech A,10.1,48,1,0.1,373.66,52.12,441.81,2026-06
WO-00245,2026-04-25 04:00:00,2026-04-25 16:26:18.883924722,Mechanical,Low,Production B,Tech C,12.4,72,1,1.1,474.88,174.43,821.26,2026-04
WO-00246,2026-01-26 04:00:00,2026-01-26 11:05:23.655714485,Electrical,High,Warehouse,Tech B,7.1,24,1,1.6,264.62,28.24,531.66,2026-01
WO-00247,2026-03-16 10:00:00,2026-03-16 15:16:06.438180492,Mechanical,Critical,Warehouse,Tech C,5.3,8,1,0.0,212.69,129.26,341.95,2026-03
WO-00248,2026-05-22 16:00:00,2026-05-23 10:12:01.884954623,HVAC,Medium,Utility Room,Tech E,18.2,48,1,1.0,644.52,149.23,944.38,2026-05
WO-00249,2026-02-04 03:00:00,2026-02-05 22:04:07.385365470,Mechanical,Medium,Production B,Tech D,43.1,48,1,1.8,1606.62,75.23,1957.03,2026-02
WO-00250,2026-05-20 07:00:00,2026-05-21 01:44:33.593294789,HVAC,High,Production B,Tech B,18.7,24,1,4.8,728.75,244.27,1685.92,2026-05
WO-00251,2026-06-05 21:00:00,2026-06-06 15:18:13.407927977,Controls,High,Production A,Tech B,18.3,24,1,5.1,737.76,36.78,1535.85,2026-06
WO-00252,2026-03-06 03:00:00,2026-03-07 04:32:37.696442096,Controls,Low,Production A,Tech A,25.5,72,1,1.7,1195.65,101.69,1545.77,2026-03
WO-00253,2026-04-21 20:00:00,2026-04-22 12:52:13.450091278,Electrical,High,Production B,Tech E,16.9,24,1,3.1,749.69,14.33,1224.47,2026-04
WO-00254,2026-02-03 03:00:00,2026-02-03 15:37:41.822324952,HVAC,Low,Production A,Tech E,12.6,72,1,0.5,498.14,346.78,917.15,2026-02
WO-00255,2026-05-08 11:00:00,2026-05-09 17:57:58.579728322,HVAC,Low,Utility Room,Tech A,31.0,72,1,2.2,1577.78,29.04,1937.01,2026-05
WO-00256,2026-03-30 05:00:00,2026-03-30 20:18:41.223799903,HVAC,Medium,Production B,Tech E,15.3,48,1,0.8,622.76,49.76,790.48,2026-03
WO-00257,2026-05-22 01:00:00,2026-05-23 01:48:46.556990596,Controls,Medium,Utility Room,Tech D,24.8,48,1,2.5,1083.21,121.36,1584.45,2026-05
WO-00258,2026-02-20 20:00:00,2026-02-21 16:09:08.835587536,HVAC,Low,Production B,Tech C,20.2,72,1,1.0,847.36,405.32,1395.34,2026-02
WO-00259,2026-01-19 03:00:00,2026-01-19 10:44:50.641315099,HVAC,Low,Warehouse,Tech C,7.7,72,1,0.8,311.01,97.25,527.05,2026-01
WO-00260,2026-03-28 10:00:00,2026-03-31 06:46:40.300651674,HVAC,Medium,Production B,Tech A,68.8,48,0,4.0,2914.54,362.74,3873.32,2026-03
WO-00261,2026-01-26 00:00:00,2026-01-27 05:09:58.333025901,Electrical,Low,Utility Room,Tech D,29.2,72,1,0.9,1286.33,260.62,1679.47,2026-01
WO-00262,2026-06-01 19:00:00,2026-06-02 11:25:33.631999135,Mechanical,High,Warehouse,Tech A,16.4,24,1,4.6,773.9,117.91,1584.96,2026-06
WO-00263,2026-02-04 13:00:00,2026-02-06 13:03:28.890885867,HVAC,Low,Warehouse,Tech A,48.1,72,1,2.1,2230.52,178.14,2716.72,2026-02
WO-00264,2026-05-12 18:00:00,2026-05-14 23:56:34.433647131,HVAC,Low,Production A,Tech A,53.9,72,1,3.0,2054.28,49.17,2553.63,2026-05
WO-00265,2026-03-18 18:00:00,2026-03-19 07:48:23.550548220,Mechanical,Medium,Office,Tech B,13.8,48,1,0.9,446.76,165.82,740.12,2026-03
WO-00266,2026-04-21 03:00:00,2026-04-21 11:44:11.445497712,Electrical,Medium,Production B,Tech B,8.7,48,1,0.7,282.3,188.72,574.34,2026-04
WO-00267,2026-04-06 00:00:00,2026-04-07 18:40:41.603873887,HVAC,Medium,Production A,Tech B,42.7,48,1,2.4,1544.47,167.07,2075.49,2026-04
WO-00268,2026-04-19 03:00:00,2026-04-19 08:50:37.623100289,Electrical,High,Production A,Tech B,5.8,24,1,2.6,186.02,52.24,625.53,2026-04
WO-00269,2026-01-10 10:00:00,2026-01-11 11:23:13.533388085,Mechanical,Medium,Office,Tech C,25.4,48,1,1.1,1139.82,306.36,1605.37,2026-01
WO-00270,2026-02-06 00:00:00,2026-02-07 00:02:09.078324993,General Maintenance,Medium,Production A,Tech D,24.0,48,1,1.7,1178.51,143.94,1570.67,2026-02
WO-00271,2026-02-23 14:00:00,2026-02-24 07:40:38.534395393,HVAC,High,Production A,Tech D,17.7,24,1,2.3,887.23,22.14,1248.01,2026-02
WO-00272,2026-04-27 14:00:00,2026-04-27 22:04:56.671461538,HVAC,Low,Warehouse,Tech D,8.1,72,1,0.9,299.91,2.44,438.3,2026-04
WO-00273,2026-01-07 06:00:00,2026-01-07 14:45:32.791226289,Mechanical,High,Office,Tech E,8.8,24,1,2.7,387.9,5.21,791.98,2026-01
WO-00274,2026-01-08 22:00:00,2026-01-09 13:25:16.516676634,General Maintenance,Medium,Production A,Tech E,15.4,48,1,0.8,686.43,60.02,861.85,2026-01
WO-00275,2026-03-05 17:00:00,2026-03-05 23:13:09.190205437,HVAC,Medium,Production B,Tech B,6.2,48,1,1.3,275.11,256.34,721.51,2026-03
WO-00276,2026-01-12 20:00:00,2026-01-14 06:56:16.401818451,Electrical,Low,Warehouse,Tech C,34.9,72,1,1.7,1508.29,163.99,1928.88,2026-01
WO-00277,2026-03-10 01:00:00,2026-03-12 03:02:48.594123967,Electrical,Medium,Utility Room,Tech A,50.0,48,0,2.8,1707.65,0.0,2134.46,2026-03
WO-00278,2026-06-10 17:00:00,2026-06-11 14:54:11.891262116,Mechanical,Medium,Production A,Tech B,21.9,48,1,0.7,955.12,239.43,1305.05,2026-06
WO-00279,2026-05-19 20:00:00,2026-05-20 12:34:25.273333120,HVAC,High,Production A,Tech E,16.6,24,1,5.2,762.37,107.98,1655.14,2026-05
WO-00280,2026-01-27 19:00:00,2026-01-28 20:10:26.613562368,Electrical,Low,Production B,Tech C,25.2,72,1,1.6,1157.75,67.37,1471.72,2026-01
WO-00281,2026-05-22 08:00:00,2026-05-22 22:15:16.612224070,General Maintenance,Medium,Production B,Tech E,14.3,48,1,0.5,717.44,165.42,956.45,2026-05
WO-00282,2026-05-22 23:00:00,2026-05-23 04:05:43.103921183,Electrical,High,Production A,Tech A,5.1,24,1,1.0,221.67,186.67,565.48,2026-05
WO-00283,2026-05-22 01:00:00,2026-05-22 20:02:43.536080365,Electrical,Low,Utility Room,Tech D,19.0,72,1,0.7,691.26,188.08,989.14,2026-05
WO-00284,2026-04-14 15:00:00,2026-04-15 17:56:10.197679429,HVAC,Low,Production A,Tech B,26.9,72,1,1.4,942.59,374.89,1533.54,2026-04
WO-00285,2026-02-02 21:00:00,2026-02-03 09:15:58.861294529,Electrical,High,Office,Tech B,12.3,24,1,3.3,716.34,279.31,1483.16,2026-02
WO-00286,2026-03-14 08:00:00,2026-03-15 17:04:46.650351211,Electrical,Medium,Production B,Tech A,33.1,48,1,2.0,1295.29,25.04,1613.11,2026-03
WO-00287,2026-03-21 13:00:00,2026-03-21 19:43:45.655074756,General Maintenance,Low,Warehouse,Tech B,6.7,72,1,0.7,281.93,20.48,402.92,2026-03
WO-00288,2026-01-01 09:00:00,2026-01-02 23:43:20.529462195,HVAC,Medium,Production A,Tech B,38.7,48,1,1.3,1680.36,7.29,1889.04,2026-01
WO-00289,2026-03-22 09:00:00,2026-03-22 15:33:45.982401113,Mechanical,High,Production A,Tech A,6.6,24,1,2.1,254.87,178.31,750.73,2026-03
WO-00290,2026-05-12 04:00:00,2026-05-12 06:03:27.855056339,HVAC,High,Production A,Tech D,2.1,24,1,1.3,90.55,139.1,423.27,2026-05
WO-00291,2026-05-06 06:00:00,2026-05-06 21:04:24.239296505,Electrical,Low,Office,Tech E,15.1,72,1,1.0,604.27,197.86,950.81,2026-05
WO-00292,2026-01-11 22:00:00,2026-01-13 01:09:28.128099781,HVAC,Low,Warehouse,Tech A,27.2,72,1,2.2,1113.27,133.36,1580.51,2026-01
WO-00293,2026-01-23 18:00:00,2026-01-23 22:34:25.509751116,HVAC,Critical,Office,Tech E,4.6,8,1,0.3,212.13,189.03,443.47,2026-01
WO-00294,2026-01-04 05:00:00,2026-01-04 16:34:43.926168225,General Maintenance,High,Production A,Tech E,11.6,24,1,1.7,487.47,129.26,871.35,2026-01
WO-00295,2026-06-22 18:00:00,2026-06-23 15:44:12.330557389,Plumbing,Low,Office,Tech E,21.7,72,1,1.6,809.2,99.17,1145.55,2026-06
WO-00296,2026-04-02 12:00:00,2026-04-03 04:49:07.282054085,Electrical,High,Production A,Tech A,16.8,24,1,5.8,637.07,131.74,1637.44,2026-04
WO-00297,2026-06-08 14:00:00,2026-06-09 11:40:59.126941306,Electrical,High,Production A,Tech B,21.7,24,1,4.0,1032.87,185.58,1814.78,2026-06
WO-00298,2026-02-15 18:00:00,2026-02-16 20:30:04.826033369,HVAC,High,Utility Room,Tech D,26.5,24,0,6.9,1144.53,212.88,2396.55,2026-02
WO-00299,2026-04-20 16:00:00,2026-04-24 07:20:58.759951517,Mechanical,Medium,Utility Room,Tech A,87.3,48,0,3.6,3460.3,244.58,4243.13,2026-04
WO-00300,2026-01-16 22:00:00,2026-01-18 02:01:47.752823304,Plumbing,Low,Production A,Tech D,28.0,72,1,1.4,1231.76,37.87,1483.26,2026-01
WO-00301,2026-02-28 07:00:00,2026-03-04 01:41:44.465289154,HVAC,Medium,Office,Tech B,90.7,48,0,5.2,5299.77,136.95,6221.77,2026-02
WO-00302,2026-06-06 12:00:00,2026-06-07 07:40:47.140099823,Controls,High,Warehouse,Tech E,19.7,24,1,4.5,824.63,392.14,1895.09,2026-06
WO-00303,2026-03-22 07:00:00,2026-03-22 07:30:00.000000000,Plumbing,Critical,Production A,Tech B,0.5,8,1,0.0,21.45,51.7,73.15,2026-03
WO-00304,2026-05-31 18:00:00,2026-06-01 00:22:15.985987053,General Maintenance,Medium,Production A,Tech D,6.4,48,1,0.0,237.26,32.21,269.46,2026-05
WO-00305,2026-02-09 18:00:00,2026-02-10 13:34:10.864241626,Electrical,High,Production A,Tech E,19.6,24,1,3.1,929.5,95.44,1495.92,2026-02
WO-00306,2026-01-12 00:00:00,2026-01-12 21:26:16.725654721,Plumbing,Low,Production A,Tech E,21.4,72,1,0.0,733.95,187.86,921.81,2026-01
WO-00307,2026-04-29 11:00:00,2026-04-30 03:43:00.313078045,Mechanical,Low,Production A,Tech C,16.7,72,1,0.2,678.95,121.26,827.32,2026-04
WO-00308,2026-01-04 15:00:00,2026-01-05 07:55:16.379982394,HVAC,Low,Production A,Tech E,16.9,72,1,1.8,725.85,74.23,1073.1,2026-01
WO-00309,2026-03-15 22:00:00,2026-03-18 23:47:55.368225489,HVAC,Low,Office,Tech A,73.8,72,0,3.3,2849.78,231.83,3575.28,2026-03
WO-00310,2026-01-01 22:00:00,2026-01-03 04:05:25.600645441,Controls,Low,Production A,Tech B,30.1,72,1,2.0,1391.83,253.85,1939.44,2026-01
WO-00311,2026-04-21 02:00:00,2026-04-21 19:42:11.430737962,HVAC,Medium,Office,Tech E,17.7,48,1,0.8,810.78,260.13,1189.35,2026-04
WO-00312,2026-03-05 06:00:00,2026-03-06 18:18:51.214865558,Electrical,Low,Production A,Tech C,36.3,72,1,2.1,2105.24,128.58,2542.11,2026-03
WO-00313,2026-03-16 12:00:00,2026-03-17 11:47:39.654148991,HVAC,Medium,Office,Tech B,23.8,48,1,1.5,1000.45,253.09,1474.82,2026-03
WO-00314,2026-04-15 06:00:00,2026-04-16 07:40:40.691403629,Plumbing,Medium,Production A,Tech E,25.7,48,1,1.0,1129.77,27.94,1310.99,2026-04
WO-00315,2026-05-23 16:00:00,2026-05-24 12:48:18.462009133,Electrical,Medium,Production B,Tech A,20.8,48,1,0.9,837.54,63.73,1040.48,2026-05
WO-00316,2026-06-22 00:00:00,2026-06-22 16:54:41.622768597,HVAC,Medium,Production A,Tech E,16.9,48,1,1.4,544.5,181.73,939.29,2026-06
WO-00317,2026-02-24 20:00:00,2026-02-27 09:59:43.535013034,Electrical,Low,Production A,Tech D,62.0,72,1,3.2,2360.3,0.0,2840.6,2026-02
WO-00318,2026-06-25 07:00:00,2026-06-25 17:28:00.214811552,Electrical,Medium,Production A,Tech E,10.5,48,1,0.3,329.88,54.84,422.71,2026-06
WO-00319,2026-06-14 18:00:00,2026-06-15 00:40:38.091930482,HVAC,Critical,Office,Tech E,6.7,8,1,0.0,256.24,0.0,256.24,2026-06
WO-00320,2026-05-16 10:00:00,2026-05-18 08:55:12.161099087,Controls,Low,Production A,Tech A,46.9,72,1,2.2,1718.99,224.7,2280.14,2026-05
WO-00321,2026-03-21 08:00:00,2026-03-21 10:22:39.208637082,Plumbing,Low,Production A,Tech B,2.4,72,1,0.4,85.98,134.37,274.49,2026-03
WO-00322,2026-04-15 01:00:00,2026-04-15 23:59:03.666346713,HVAC,Low,Production B,Tech B,23.0,72,1,1.4,935.3,187.28,1336.27,2026-04
WO-00323,2026-02-21 09:00:00,2026-02-22 04:53:42.783822140,Plumbing,High,Warehouse,Tech E,19.9,24,1,5.9,696.3,22.3,1597.04,2026-02
WO-00324,2026-04-06 20:00:00,2026-04-08 04:32:10.075441863,Electrical,Medium,Warehouse,Tech E,32.5,48,1,1.7,1236.81,85.15,1569.53,2026-04
WO-00325,2026-03-06 15:00:00,2026-03-09 18:53:46.119986406,HVAC,Low,Utility Room,Tech C,75.9,72,0,3.7,3940.7,181.14,4672.96,2026-03
WO-00326,2026-06-15 08:00:00,2026-06-15 15:26:06.229869525,HVAC,Medium,Production A,Tech B,7.4,48,1,0.5,276.06,48.79,405.18,2026-06
WO-00327,2026-06-14 06:00:00,2026-06-16 11:56:59.561065743,Electrical,Low,Office,Tech E,53.9,72,1,2.8,2206.7,235.17,2855.04,2026-06
WO-00328,2026-05-31 15:00:00,2026-06-02 17:32:31.220465197,HVAC,Low,Production A,Tech C,50.5,72,1,2.8,2770.36,228.53,3413.86,2026-05
WO-00329,2026-05-06 20:00:00,2026-05-07 16:36:17.355467791,Mechanical,Medium,Production A,Tech E,20.6,48,1,0.8,924.7,286.49,1336.72,2026-05
